param_n_neighbors,mean_test_accuracy,std_test_accuracy,mean_test_roc_auc,mean_test_recall,mean_test_f1,mean_test_precision,rank_test_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,std_test_f1,rank_test_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,std_test_precision,rank_test_precision
13,0.9724999999999999,0.011592023119369618,0.9982807500563687,0.9650281618023554,0.9649670797272488,0.9654456654456656,22,0.0045262336730957035,0.00040093835572357304,0.03441638946533203,0.003625133207322011,{'n_neighbors': 13},0.98125,0.9875,0.95625,0.975,0.9625,0.9990947992100065,0.9998363606611029,0.9969726722304042,0.9982817869415807,0.9972181312387498,0.0010883774899885445,8,0.9838709677419355,0.9682539682539683,0.9206349206349206,0.9841269841269841,0.9682539682539683,0.023286854084401242,6,0.976,0.9838709677419355,0.943089430894309,0.96875,0.953125,0.01491481926360921,24,0.9682539682539683,1.0,0.9666666666666667,0.9538461538461539,0.9384615384615385,0.02032767189611432,25
14,0.9737499999999999,0.0072886898685566,0.9982644803847712,0.9554531490015361,0.966109863293697,0.9774569436850739,19,0.004881715774536133,0.0012583338119492933,0.028765201568603516,0.0035424576581926117,{'n_neighbors': 14},0.975,0.98125,0.9625,0.98125,0.96875,0.999177090190915,0.9997545409916544,0.9970544918998527,0.9981181476026837,0.9972181312387498,0.0010614583574105473,9,0.967741935483871,0.9523809523809523,0.9206349206349206,0.9841269841269841,0.9523809523809523,0.020997089820975826,21,0.967741935483871,0.975609756097561,0.9508196721311475,0.9763779527559056,0.96,0.009689846844793135,20,0.967741935483871,1.0,0.9830508474576272,0.96875,0.967741935483871,0.012681126010480636,14
15,0.9724999999999999,0.008477912478906596,0.9980841943251084,0.9649769585253457,0.9650468331368556,0.9654517525485268,22,0.0041847705841064455,0.0004977087379647956,0.03054661750793457,0.006957436771342005,{'n_neighbors': 15},0.975,0.9875,0.96875,0.96875,0.9625,0.9989302172481896,0.9996727213222059,0.9970544918998527,0.9975454099165441,0.9972181312387498,0.0010334228369770825,11,0.967741935483871,0.9682539682539683,0.9523809523809523,0.9841269841269841,0.9523809523809523,0.011852646223230144,7,0.967741935483871,0.9838709677419355,0.96,0.9612403100775194,0.9523809523809523,0.010601851707379588,23,0.967741935483871,1.0,0.967741935483871,0.9393939393939394,0.9523809523809523,0.020267840147104765,24
16,0.9737499999999999,0.010752906583803274,0.9979861049840622,0.9554531490015362,0.9661924993443483,0.9773118279569892,19,0.004264259338378906,0.0005535839257958187,0.03232631683349609,0.006110638339698722,{'n_neighbors': 16},0.975,0.9875,0.96875,0.98125,0.95625,0.999012508229098,0.9998363606611028,0.9969726722304042,0.9972999509081983,0.9968090328915071,0.0012132849430306581,13,0.967741935483871,0.9682539682539683,0.9365079365079365,0.9682539682539683,0.9365079365079365,0.01546983111175152,20,0.967741935483871,0.9838709677419355,0.959349593495935,0.976,0.944,0.0137873017950918,19,0.967741935483871,1.0,0.9833333333333333,0.9838709677419355,0.9516129032258065,0.01640762972921501,15
17,0.9712500000000001,0.010897247358851678,0.9979040967900297,0.9618023553507425,0.9633715392430785,0.9652602408168246,26,0.0036418914794921877,0.00010366108616202868,0.025918340682983397,0.001228345704674296,{'n_neighbors': 17},0.975,0.9875,0.9625,0.975,0.95625,0.9988479262672811,0.9998363606611029,0.9968908525609557,0.9974635902470954,0.996481754213713,0.0012544501613142422,16,0.967741935483871,0.9682539682539683,0.9365079365079365,0.9841269841269841,0.9523809523809523,0.01614844531044637,13,0.967741935483871,0.9838709677419355,0.9516129032258065,0.96875,0.9448818897637795,0.013772344978608806,26,0.967741935483871,1.0,0.9672131147540983,0.9538461538461539,0.9375,0.02058026114859808,26
18,0.97,0.010752906583803287,0.9977729025320359,0.9522785458269329,0.9614926379678543,0.9711674347158219,27,0.003920507431030273,0.0004977534606732145,0.029606103897094727,0.004150741532511839,{'n_neighbors': 18},0.975,0.98125,0.96875,0.975,0.95,0.9986010533245556,0.9994272623138601,0.9968908525609557,0.9972181312387498,0.9967272132220586,0.0010584884973589821,23,0.967741935483871,0.9523809523809523,0.9365079365079365,0.9682539682539683,0.9365079365079365,0.014083786884866315,24,0.967741935483871,0.975609756097561,0.959349593495935,0.9682539682539683,0.9365079365079365,0.013512144741820586,28,0.967741935483871,1.0,0.9833333333333333,0.9682539682539683,0.9365079365079365,0.0209801289694454,22
19,0.97,0.012747548783981946,0.9977569156473141,0.9618535586277522,0.9619677770220354,0.9626659451659453,27,0.003926515579223633,0.0006179987829780979,0.02951388359069824,0.0036894913639276064,{'n_neighbors': 19},0.98125,0.9875,0.96875,0.95625,0.95625,0.9989302172481895,0.999099983636066,0.9971363115693013,0.9968090328915071,0.9968090328915071,0.001035623592642184,25,0.9838709677419355,0.9682539682539683,0.9365079365079365,0.9682539682539683,0.9523809523809523,0.016117243068313157,10,0.976,0.9838709677419355,0.959349593495935,0.9457364341085271,0.9448818897637795,0.015740978156199213,27,0.9682539682539683,1.0,0.9833333333333333,0.9242424242424242,0.9375,0.028149210796402795,27
20,0.9737500000000001,0.008291561975888507,0.9978387353167628,0.9586277521761394,0.9663194834713325,0.9743420378904251,17,0.0038494110107421876,0.0005253002618501286,0.027683448791503907,0.003505540030880148,{'n_neighbors': 20},0.975,0.9875,0.96875,0.975,0.9625,0.9989302172481896,0.9994272623138604,0.997136311569301,0.9972181312387498,0.996481754213713,0.0011344335224082488,19,0.967741935483871,0.9682539682539683,0.9365079365079365,0.9682539682539683,0.9523809523809523,0.012623035785400104,19,0.967741935483871,0.9838709677419355,0.959349593495935,0.9682539682539683,0.9523809523809523,0.010551608563911859,17,0.967741935483871,1.0,0.9833333333333333,0.9682539682539683,0.9523809523809523,0.016137469651638495,18
21,0.975,0.010458250331675948,0.9979695525255885,0.9649769585253457,0.9680444962721516,0.9714604750088622,10,0.004338312149047852,0.001300591407496661,0.03040633201599121,0.00807882824438098,{'n_neighbors': 21},0.975,0.99375,0.96875,0.975,0.9625,0.9988479262672811,0.9992636229749632,0.9973817705776469,0.997709049255441,0.99664539355261,0.0009605108344878905,14,0.967741935483871,0.9841269841269841,0.9365079365079365,0.9841269841269841,0.9523809523809523,0.018494521589299415,7,0.967741935483871,0.992,0.959349593495935,0.96875,0.9523809523809523,0.013382102816186677,10,0.967741935483871,1.0,0.9833333333333333,0.9538461538461539,0.9523809523809523,0.018130577935871882,21
22,0.9737500000000001,0.006123724356957924,0.9978878271184319,0.9522785458269329,0.966086335563061,0.9806418036983875,17,0.0045257568359375,0.0012566022201809968,0.030206823348999025,0.005950332194187571,{'n_neighbors': 22},0.975,0.98125,0.975,0.975,0.9625,0.9989302172481895,0.9990181639666176,0.997709049255441,0.9973817705776468,0.9963999345442645,0.0009865209204078852,17,0.967741935483871,0.9523809523809523,0.9365079365079365,0.9682539682539683,0.9365079365079365,0.014083786884866315,24,0.967741935483871,0.975609756097561,0.9672131147540983,0.9682539682539683,0.9516129032258065,0.00785983531918895,21,0.967741935483871,1.0,1.0,0.9682539682539683,0.9672131147540983,0.015809328143952892,8
23,0.975,0.010458250331675948,0.9977570099096063,0.9618023553507425,0.9679931847757528,0.9746495775729647,10,0.003925037384033203,0.00041651007641178975,0.026596641540527342,0.0009569804890076118,{'n_neighbors': 23},0.975,0.99375,0.975,0.96875,0.9625,0.9990125082290982,0.9988545246277205,0.9972999509081983,0.9972181312387498,0.9963999345442643,0.001012102888703938,24,0.967741935483871,0.9841269841269841,0.9365079365079365,0.9682539682539683,0.9523809523809523,0.01614844531044637,13,0.967741935483871,0.992,0.9672131147540983,0.9606299212598425,0.9523809523809523,0.013228441046551898,11,0.967741935483871,1.0,1.0,0.953125,0.9523809523809523,0.02141122351163609,16
24,0.9724999999999999,0.006373774391990958,0.9978059131866914,0.9491039426523298,0.964379249802324,0.9806418036983875,22,0.0038904666900634764,0.0006243710993480097,0.02952876091003418,0.004092084649824088,{'n_neighbors': 24},0.975,0.98125,0.96875,0.975,0.9625,0.9988479262672811,0.998772704958272,0.9971363115693013,0.9978726885943381,0.9963999345442645,0.0009434064674099491,21,0.967741935483871,0.9523809523809523,0.9206349206349206,0.9682539682539683,0.9365079365079365,0.01840642081182977,28,0.967741935483871,0.975609756097561,0.9586776859504132,0.9682539682539683,0.9516129032258065,0.008341855968415255,25,0.967741935483871,1.0,1.0,0.9682539682539683,0.9672131147540983,0.015809328143952892,8
25,0.975,0.010458250331675948,0.9977077295833532,0.9618023553507425,0.9679931847757528,0.9746495775729647,10,0.003952598571777344,0.0003525851639570178,0.029784011840820312,0.0029258802801158507,{'n_neighbors': 25},0.975,0.99375,0.975,0.96875,0.9625,0.9988479262672811,0.9986908852888234,0.9974635902470954,0.9972181312387498,0.9963181148748159,0.0009483652473566163,26,0.967741935483871,0.9841269841269841,0.9365079365079365,0.9682539682539683,0.9523809523809523,0.01614844531044637,13,0.967741935483871,0.992,0.9672131147540983,0.9606299212598425,0.9523809523809523,0.013228441046551898,11,0.967741935483871,1.0,1.0,0.953125,0.9523809523809523,0.02141122351163609,16
26,0.975,0.008838834764831844,0.9977899263019697,0.9554531490015361,0.9677343083114345,0.9807987711213517,10,0.004289770126342773,0.00042275597212004806,0.0323397159576416,0.005471092431938539,{'n_neighbors': 26},0.975,0.9875,0.96875,0.98125,0.9625,0.9991770901909152,0.998772704958272,0.9973817705776469,0.9971363115693013,0.996481754213713,0.001019332631541857,22,0.967741935483871,0.9682539682539683,0.9206349206349206,0.9682539682539683,0.9523809523809523,0.018441711628482904,21,0.967741935483871,0.9838709677419355,0.9586776859504132,0.976,0.9523809523809523,0.011370676688380325,15,0.967741935483871,1.0,1.0,0.9838709677419355,0.9523809523809523,0.01857345499255527,7
27,0.9775,0.009354143466934858,0.9976753787647417,0.9618023553507424,0.9710099085388253,0.9809475806451612,4,0.004221963882446289,0.0005701958524721333,0.027431297302246093,0.0029999204234660015,{'n_neighbors': 27},0.975,0.99375,0.96875,0.98125,0.96875,0.9991770901909152,0.9990181639666176,0.9967272132220586,0.9968908525609556,0.9965635738831614,0.0011669463279295397,27,0.967741935483871,0.9841269841269841,0.9206349206349206,0.9682539682539683,0.9682539682539683,0.021501962521325562,16,0.967741935483871,0.992,0.9586776859504132,0.976,0.9606299212598425,0.01213253848219127,5,0.967741935483871,1.0,1.0,0.9838709677419355,0.953125,0.018346774193548382,5
28,0.975,0.008838834764831844,0.9976097345045989,0.9522785458269329,0.9676562595309466,0.9840245775729647,10,0.0037312030792236326,0.00045588289267230403,0.026492214202880858,0.003191142927396031,{'n_neighbors': 28},0.975,0.98125,0.96875,0.9875,0.9625,0.9990125082290982,0.998772704958272,0.9970544918998527,0.9969726722304042,0.9962362952053674,0.0010881868036567105,28,0.967741935483871,0.9523809523809523,0.9206349206349206,0.9682539682539683,0.9523809523809523,0.017295493811404713,24,0.967741935483871,0.975609756097561,0.9586776859504132,0.9838709677419355,0.9523809523809523,0.01131487518657881,16,0.967741935483871,1.0,1.0,1.0,0.9523809523809523,0.020159790742270877,3
29,0.9775,0.008477912478906582,0.9978061959735672,0.9618535586277522,0.9710930069753972,0.9809011776753712,4,0.0038829326629638674,0.0004991921280998501,0.027470922470092772,0.004181674424040359,{'n_neighbors': 29},0.98125,0.9875,0.975,0.98125,0.9625,0.9990947992100065,0.9990181639666176,0.9971363115693013,0.9972999509081983,0.996481754213713,0.0010572170896911643,20,0.9838709677419355,0.9682539682539683,0.9365079365079365,0.9682539682539683,0.9523809523809523,0.016117243068313157,10,0.976,0.9838709677419355,0.9672131147540983,0.976,0.9523809523809523,0.01073897567957553,4,0.9682539682539683,1.0,1.0,0.9838709677419355,0.9523809523809523,0.018502458422643062,6
30,0.9762500000000001,0.008291561975888501,0.9978391123659307,0.9491551459293396,0.9691039713146999,0.9902168164992068,6,0.0036518096923828123,0.00015470932914726657,0.02019815444946289,0.0013019993627764266,{'n_neighbors': 30},0.9875,0.975,0.975,0.98125,0.9625,0.9992593811718236,0.998936344297169,0.9972181312387498,0.997545409916544,0.9962362952053674,0.0011191052614663406,18,0.9838709677419355,0.9365079365079365,0.9365079365079365,0.9523809523809523,0.9365079365079365,0.018414395617742423,27,0.9838709677419355,0.9672131147540983,0.9672131147540983,0.975609756097561,0.9516129032258065,0.010709599050186152,9,0.9838709677419355,1.0,1.0,1.0,0.9672131147540983,0.013088713677505862,1
